Station Name (LEA),State,Records
CLARKDALE POLICE DEPT,AZ,4
CLIFTON POLICE DEPT,AZ,22
COCHISE COUNTY POLICE DEPT,AZ,1
COCHISE COUNTY SHERIFF DEPT,AZ,153
COCONINO COUNTY SHERIFF DEPT,AZ,32
COCOPAH TRIBAL POLICE DEPT,AZ,3
COLORADO CITY MARSHAL OFFICE,AZ,15
COLORADO INDIAN TRIBES POLICE DEPT,AZ,7
COOLIDGE POLICE DEPT,AZ,2
COTTONWOOD POLICE DEPT,AZ,23
DOUGLAS POLICE DEPT,AZ,1
EL MIRAGE POLICE DEPT,AZ,19
ELOY POLICE DEPT,AZ,7
FLAGSTAFF POLICE DEPT,AZ,39
FLORENCE POLICE DEPT,AZ,31
FORT MOJAVE TRIBAL POLICE DEPT,AZ,1
GILA COUNTY SHERIFFS OFFICE,AZ,60
GILA RIVER POLICE DEPT,AZ,7
GILBERT POLICE DEPT,AZ,99
GLENDALE POLICE DEPT,AZ,11
GRAHAM COUNTY SHERIFF DEPT,AZ,8
GREENLEE COUNTY SHERIFF DEPT,AZ,23
HAYDEN POLICE DEPT,AZ,1
HOLBROOK POLICE DEPT,AZ,17
HUACHUCA CITY POLICE DEPT,AZ,16
JEROME POLICE DEPT,AZ,3
KINGMAN POLICE DEPT,AZ,12
LA PAZ COUNTY SHERIFF DEPT,AZ,58
LAKE HAVASU POLICE DEPT,AZ,1
MAMMOTH POLICE DEPARTMENT,AZ,13
MARANA POLICE DEPT,AZ,23
MARICOPA POLICE DEPARTMENT,AZ,1
MESA POLICE DEPT,AZ,392
MOHAVE CO PARKS LAW ENF,AZ,6
MOHAVE COUNTY SHERIFFS OFFICE,AZ,24
NATIONAL PARK SERVICE GLEN CANYON,AZ,14
NAVAJO COUNTY SHERIFF DEPT,AZ,76
NOGALES POLICE DEPT,AZ,2
ORO VALLEY POLICE DEPT,AZ,46
PARADISE VALLEY POLICE DEPT,AZ,16
PAYSON POLICE DEPT,AZ,106
PHOENIX DEPT OF PUBLIC SAFETY,AZ,1045
PHOENIX LE ATTORNEY GENERAL OFFICE,AZ,12
PIMA COLLEGE POLICE DEPT  HI_ED,AZ,9
PIMA COUNTY SHERIFF DEPT,AZ,156
PINAL COUNTY SHERIFF DEPT,AZ,200
PINETOP-LAKESIDE POLICE DEPT,AZ,36
PRESCOTT POLICE DEPT,AZ,73
PRESCOTT VALLEY POLICE DEPT,AZ,29
QUARTZSITE POLICE DEPT,AZ,16
SAFFORD POLICE DEPT,AZ,5
SAHUARITA POLICE DEPT,AZ,4
SALT RIVER POLICE DEPT,AZ,16
SAN CARLOS POLICE DEPT,AZ,17
SAN LUIS POLICE DEPARTMENT,AZ,4
SANTA CRUZ COUNTY SHERIFFS OFFICE,AZ,10
SEDONA POLICE DEPT,AZ,1
SHOW LOW POLICE DEPT,AZ,5
SIERRA VISTA POLICE DEPT,AZ,23
SNOWFLAKE TAYLOR POLICE DEPT,AZ,8
SOUTH TUCSON POLICE DEPT,AZ,36
SPRINGERVILLE POLICE DEPT,AZ,2
SURPRISE POLICE DEPT,AZ,29
TEMPE POLICE DEPT,AZ,4
THATCHER POLICE DEPT,AZ,6
TOMBSTONE MARSHAL DEPT,AZ,16
TUCSON POLICE DEPT,AZ,229
UNIV OF AZ POLICE DEPT  HI_ED,AZ,1
US BORDER PATROL,AZ,126
US DEPT OF AGRICULTURE US FOREST SV,AZ,6
US DHS CBP SELLS,AZ,1
US DHS CBP TUCSON AIR,AZ,5
US DHS CBP TUCSON HQ SECTOR,AZ,19
US DHS DBP SAN LUIS,AZ,1
US DHS ICE PHOENIX,AZ,293
US DOI BUR OF LAND MGMT TUCSON,AZ,12
US DOI NPS GLEN CANYON  REC AREA,AZ,6
US DOI NPS GRAND CANYON  PARK,AZ,26
US DOI NPS HEREFORD,AZ,13
US DOJ DEA PHOENIX,AZ,57
US FBI PHOENIX,AZ,86
USDA FOREST SERVICE LEI CORONADO,AZ,62
WELLTON POLICE DEPT,AZ,2
WESTERN COLLEGE POLICE DEPT HI_ED,AZ,13
WICKENBURG POLICE DEPT,AZ,3
WILLCOX DEPT OF PUBLIC SAFETY,AZ,10
WILLIAMS POLICE DEPT,AZ,39
WINSLOW POLICE DEPT,AZ,47
YAVAPAI COUNTY SHERIFF OFFICE,AZ,3
YUMA COUNTY SHERIFF DEPT,AZ,52
YUMA POLICE DEPT,AZ,75
ALAMEDA COUNTY SHERIFF DEPT,CA,54
ALBANY POLICE DEPT,CA,5
ALPINE COUNTY SHERIFF DEPT,CA,5
ALTURAS POLICE DEPT,CA,15
AMADOR COUNTY SHERIFF DEPT,CA,13
ANAHEIM POLICE DEPT,CA,54
ANDERSON POLICE DEPT,CA,2
ANGELS CAMP POLICE DEPT,CA,4
ANTIOCH POLICE DEPARTMENT,CA,6
ARCATA POLICE DEPT,CA,14
ARROYO GRANDE POLICE DEPT,CA,6
ASSEMBLY SERGEANT AT ARMS (LE),CA,21
ATASCADERO POLICE DEPT,CA,1
ATWATER POLICE DEPT,CA,6
AVENAL POLICE DEPT,CA,3
AVENAL STATE PRISON,CA,49
AZUSA POLICE DEPT,CA,2
BAKERSFIELD POLICE DEPT,CA,1
BALDWIN PARK SCHOOL POLICE K-12,CA,3
