Item Name,Quantity
"BAG ASSEMBLY,TRAINING",31
BAG DEPLOYMENT,1565
"BAG,AMMUNITION",1780
"BAG,BARRACKS",502
"BAG,BIOHAZARD DISPOSAL",3
"BAG,BLOOD RECOVERY,AUTOTRANSFUSION",7
"BAG,BREATHING,DIVER'S",2
"BAG,CARGO,AERIAL DELIVERY",10
"BAG,CARRY",162
"BAG,CARRYING",47
"BAG,CHAIN",1
"BAG,CHEMICAL PROTECTIVE CLOTHING OUTFIT",12
"BAG,CLOTHING",1410
"BAG,COMBAT",6
"BAG,COMBAT CASUALTY CARE",75
"BAG,COMBAT TRAUMA",12
"BAG,DEPLOY,SM,KH",54
"BAG,DEPLOYMENT KIT",5
"BAG,DEPLOYMENT,GN",13
"BAG,DEPLOYMENT,SM,G",29
"BAG,DROP LEG",2
"BAG,DUFFEL",1087
"BAG,EMPTY CARTRIDGE",510
"BAG,EQUIPMENT",124
"BAG,FLOTATION",17
"BAG,FLYER'S HELMET",406
"BAG,FLYERS HELMET",11
"BAG,FOOD SAMPLE",7
"BAG,GOLF",2
"BAG,HOT WATER-ICE",4
"BAG,INDIVIDUAL EQUIPMENT,CARRI",11
"BAG,INDIVIDUAL EQUIPMENT,CARRIER",1198
"BAG,KIT",4
"BAG,LAUNDRY",320
"BAG,MEDICAL",345
"BAG,MEDICAL AID",176
"BAG,MEDICAL INSTRUMENT AND SUPPLY SET",23
"BAG,MEDICAL SUPPLY,EXPANDABLE",12
"BAG,MONEY",4
"BAG,NUCLEAR,BIOLOGICAL AND CHEMICAL PROTECTIVE CLOTHING OUTFIT",1323
"BAG,ORDNANCE WEAPONS SPARE PARTS",200
"BAG,PAPER",31
"BAG,PLASTIC",1562
"BAG,RADIO,CARRIER",73
"BAG,RESCUE EQUIPMENT",14
"BAG,ROLLDOWN,OPERATING ROOM",18
"BAG,ROLLPACK,MEDICAL",8
"BAG,SAND",2469
"BAG,SIGNAL EQUIPMENT,WATERPROOF",12
"BAG,SMALL ARMS PROTECTIVE BODY ARMOR",11
"BAG,SMOKES RESCUE",10
"BAG,SPECIMEN",8
"BAG,STORAGE,ACCESSO",2
"BAG,STOWAGE GUN MOU",30
"BAG,STOWAGE,TOOLS",64
"BAG,SURVEYORS",10
"BAG,TC3,COMBAT CASUALTY CARE",14
"BAG,TEXTILE",113
"BAG,TOOL",296
"BAG,TOOLS AND SPARE PARTS",56
"BAG,TRAINING,BLACK",186
"BAG,TRAINING,BOXER'S",2
"BAG,TRANSPORT,COMPUTER PERIPHERALS",60
"BAG,VACUUM CLEANER",12
"BAG,WASTE RECEPTACLE",5
"BAG,WATER CARRYING",10
"BAG,WATER STERILIZING",6
"BAG,WATERPROOF,CHEMICAL-BIOLOGICAL MASK",20
"BAG,WATERPROOF,WEAPONS,SHOOT-THROUGH",22
"BAG,WATERPROOFING,CHEMICAL-BIOLOGICAL MASK",100
"BAG,WEAPON EQUIPMENT,CARRIER",103
"BAG,WET WEATHER CLOTHING",1627
BAGS AND SACKS,742
BALACLAVA,198
BALANCE ARM KIT,2
"BALANCE KIT,ROTOR",2
"BALANCE WHEEL,ROTOR",6
"BALANCER,VEHICLE WHEEL",9
"BALL,SOCKET HITCH",2
"BALLAST,LAMP",10
BALLISTIC BLANKET,324
BALLISTIC BLANKET KIT,1
"BALLISTIC BLANKET KIT,LAV-25",40
BALLISTIC FOAM,42
"BALLISTIC PLATE INSERTS,CERAMIC TILE",20
BALLISTIC SHIELDS,5
"BAND ASSEMBLY,INTER",1
"BAND,COMPRESSOR",2
"BAND,EXERCISE,PHYSICAL THERAPY",4
"BANDAGE KIT,ELASTIC",3871
"BANDAGE,ADHESIVE",668
"BANDAGE,ELASTIC",3203
"BANDAGE,GAUZE",13883
"BANDAGE,GAUZE,IMPREGNATED",7318
"BANDAGE,GAUZE,SELF-ADHERENT",1214
"BANDAGE,HEMORAGE CONTROL",100
"BANDAGE,HEMORRHAGE CONTROL",2
"BANDAGE,MUSLIN",1273
"BANDAGE,TRIANGULAR",252
BANDOLEER AMMUNITION POUCHES,797
"BANDOLEER,FLARE",20
"BAR,DIGGING",13
"BAR,EMERGENCY RESCUE",8
"BAR,METAL",793
"BAR,PINCH",1
"BAR,PRY",174
"BAR,RESCUE",48
"BAR,SOCKET WRENCH HANDLE",6
"BAR,STABILIZER",4
"BAR,WARNING LIGHT",42
"BAR,WRECKING",44
"BARBED TAPE,CONCERTINA",359
BARBED WIRE,126
"BARBED WIRE,CONCERTINA",1505
BARBER KIT,18
BARCODE READER,11
"BAROMETER,ANEROID",5
BARREL AND FRONT SIGHT ASSEMBLY,1232
BARREL ASSEMBLY,218
"BARREL,AUTOMATIC GUN",32
"BARREL,CARBINE",598
"BARREL,EXTENSION",1
"BARREL,GRENADE LAUNCHER",5
"BARREL,MACHINE GUN",11
"BARREL,PISTOL",33
"BARREL,PROJECTILE DRIVER,EXPLOSIVE ORDNANCE DISPOSAL",22
"BARREL,RIFLE",41
"BARREL,SHOTGUN",53
"BARRICADE,PORTABLE,",124
BARRIER,6
"BARRIER,VEHICLE ARRESTING,PORTABLE",273
BARS,24
BARS AND RODS,34
BASE,15
BASE STATION PORTAB,1
BASE STATION REPEATER,2
"BASE STATION,RADIO SET",21
"BASE VEST,OUTERSHELLL",2
"BASE,ANTENNA SUPPORT",5
"BASE,CHASSIS",1
"BASE,HYDRAULIC JACK",1
"BASE,MAST",5
"BASE,PINTLE MOUNT",3
"BASE,RADIO MOUNT",1
"BASE,REAR SIGHT",12
"BASE,SHIPPING AND STORAGE CONTAINER",10
"BASE,TELEPHONE",5
"BASIN,WASH",31
"BASKET,CLOTH",1
"BASKET,FRYING",6
"BASKET,RESCUE",6
"BASKET,STOKES RIGID LITTER",1
"BASKET,STOWAGE",5
"BASKET,WASTEPAPER",2
"BAT,BASEBALL",8
"BATH UNIT,PORTABLE",12
"BATON,COMBAT TRAINING",181
"BATON,EXTENDABLE",269
"BATON,TACTICAL",12
"BATON,TACTICAL ASP",260
"Batteries, Nonrechargeable",30
"BATTERIES, UNUSED, NONRECHARGEABLE",311
BATTERY BOX,3
"BATTERY CABLE ASSY,",2
BATTERY CAP ASSEMB,50
"BATTERY CHARGE,SPEC",6
BATTERY CHARGER,33
"BATTERY COMPARTMENT,NIGHT VISION VIEWER",158
BATTERY POWER CONDI,1
BATTERY POWER SOURCE,3
BATTERY POWER SUPPLY,13
"BATTERY,HOUSING ASS",17
"BATTERY,NONRECHARGEABLE",1057
"BATTERY,STORAGE",97
BATTERY.HOLDER,70
BATTLEFIELD ANTI-INTRUSION SYSTEM,4
BAYONET,46
BAYONET AND SCABBARD,3108
BAYONET-KNIFE,3305
"BDU CLOTHING, SPECIAL PURPOSE",3
BDU COVERALL,25
BDU GLOVES,60
BDU KNEEPAD,562
BDU PARKA,50
"BEACON SET,INFRARED",81
